mos	fr	en
B kɩɩsame tɩ ka sɩd ye.	Ils ont nié que ce n'est pas la vérité.	They refused that it is not the true.
... ka ... ye.; ... pa ... ye.	... ka ... ye.; ... pa ... ye.	... ka ... ye.; ... pa ... ye.
Kɩɩsg gomde.	Phrase négative.	A negative sentence.
Yẽ n wʋm yellã, n kɩk maam.	Il a entendu le problème et m'a informé secrètement.	He heard of the problem and informed me secretly.
A paa kɩla.	Il est resté intact.	He remained in good condition.
a basa raoogã a zugẽ wã kɩlawɩla	a basa raoogã a zugẽ wã kɩlawɩla	a basa raoogã a zugẽ wã kɩlawɩla
pagã kɩla zẽem n tɩ koos raagẽ.	pagã kɩla zẽem n tɩ koos raagẽ.	pagã kɩla zẽem n tɩ koos raagẽ.
kɩlem yaa rɩ-koosdem buud fãa.	Des plats sont toute sorte de nourriture venue.	Dishes are all kinds of sold food.
Yʋʋrã kɩllame.	Le canari est penché.	The pot is bent to one side.
fo pa kɩlem roogã sõama ye.	fo pa kɩlem roogã sõama ye.	fo pa kɩlem roogã sõama ye.
bõnd tẽng rãmb kɩlemda yẽbga.	bõnd tẽng rãmb kɩlemda yẽbga.	bõnd tẽng rãmb kɩlemda yẽbga.
yolgã zɩslem taa kɩlo a wãna?	yolgã zɩslem taa kɩlo a wãna?	yolgã zɩslem taa kɩlo a wãna?
rũngã sẽn faagã, a kɩlo wã boogame.	rũngã sẽn faagã, a kɩlo wã boogame.	rũngã sẽn faagã, a kɩlo wã boogame.
kɩls yʋʋrã sẽn kɩllã tɩ koomã ra wa raage ye.	kɩls yʋʋrã sẽn kɩllã tɩ koomã ra wa raage ye.	kɩls yʋʋrã sẽn kɩllã tɩ koomã ra wa raage ye.
B tõe n bool-a lame tɩ rog-sore.	B tõe n bool-a lame tɩ rog-sore.	B tõe n bool-a lame tɩ rog-sore.
f sẽn mi n yã sãan n tar kɩr-kɩrã f kãoong bɩ f noaaga_	f sẽn mi n yã sãan n tar kɩr-kɩrã f kãoong bɩ f noaaga_	f sẽn mi n yã sãan n tar kɩr-kɩrã f kãoong bɩ f noaaga_
tɩ f ning kɩra tɩ fo tãag n kiig-a bud-bud woto!	tɩ f ning kɩra tɩ fo tãag n kiig-a bud-bud woto!	tɩ f ning kɩra tɩ fo tãag n kiig-a bud-bud woto!
a wʋmame t'a pʋg-sad n wat t'a saad n kɩrda.	a wʋmame t'a pʋg-sad n wat t'a saad n kɩrda.	a wʋmame t'a pʋg-sad n wat t'a saad n kɩrda.
Sor kɩrenga.	A côté du chemin.	Along the path.
yaa kibs t'a maneg a neng n dʋʋs kɩrɩ.	yaa kibs t'a maneg a neng n dʋʋs kɩrɩ.	yaa kibs t'a maneg a neng n dʋʋs kɩrɩ.
Da kɩs kaset sẽn ya zirẽ n dõd f to ye.	Tu ne porteras pas de faux témoignage contre ton prochain.	You shall not bear false witness against your neighbour.
Kɩs Wẽnd sɩda.	Fais confiance en Dieu.	Trust in God.
A kɩsa maam ligdã.	Il m'a remis l'argent.	He gave me the money.
M kɩta yẽnda.	Je rends à lui.	I give it back to him.
A na n kɩsga kuku-raoogã.	Il va castrer le cochon mâle.	He will castrate the male pig.
Wẽnnaam dag n kɩtame tɩ tɩɩs yi.	Dieu a fait que les arbres poussent.	god made that the trees grow.
a naowã zabame n lebg kɩʋʋl-kɩʋʋla.	a naowã zabame n lebg kɩʋʋl-kɩʋʋla.	a naowã zabame n lebg kɩʋʋl-kɩʋʋla.
Begdã kɩʋʋlame.	La boue est devenu dure.	The mud has become hard.
a moee sag-kudr sẽn ya kɩʋʋlemde.	a moee sag-kudr sẽn ya kɩʋʋlemde.	a moee sag-kudr sẽn ya kɩʋʋlemde.
Nug-kɩʋʋlle.	Main durcie.	Hardened hand.
ko-bulgã yĩnga tõnd yũuda baraasã koom.	ko-bulgã yĩnga tõnd yũuda baraasã koom.	ko-bulgã yĩnga tõnd yũuda baraasã koom.
a zĩime n maand ko-kɛɛr tɩ nebã laadẽ.	a zĩime n maand ko-kɛɛr tɩ nebã laadẽ.	a zĩime n maand ko-kɛɛr tɩ nebã laadẽ.
a ket n yaa rakõor bɩ a paama ko-kõata?	a ket n yaa rakõor bɩ a paama ko-kõata?	a ket n yaa rakõor bɩ a paama ko-kõata?
Seobgã sẽn yõkã, ko-pemd ka be ye.	Seobgã sẽn yõkã, ko-pemd ka be ye.	Seobgã sẽn yõkã, ko-pemd ka be ye.
ko-peongã kãaga ko-pʋgdã n wa pɛ kʋɩlgã noore.	ko-peongã kãaga ko-pʋgdã n wa pɛ kʋɩlgã noore.	ko-peongã kãaga ko-pʋgdã n wa pɛ kʋɩlgã noore.
Koob sẽn ya rɩɩb yĩnga.	Koob sẽn ya rɩɩb yĩnga.	Koob sẽn ya rɩɩb yĩnga.
A kẽe ko-soalsgẽ wã n na n dʋʋde.	A kẽe ko-soalsgẽ wã n na n dʋʋde.	A kẽe ko-soalsgẽ wã n na n dʋʋde.
Koom beeme tɩ ko-sʋk beẽ.	L'eau existe et l'eau profonde existe. (Proverbe: la renommée, l'autorité, la puissance économique, les difficultés, les dangers etc. sont différents de par leur importance selon les individus, les régions, les pays et les continents, ce qui fait aussi la différence des individus, des régions et des pays.	Water exists and deep water exists. (Proverb: fame, authority, economic power, difficulties, dangers ... are different in their importance according to individuals, regions, countries and continents, which also makes the difference between individuals, regions and countries.
A yoogda koomã ko-toakẽ n yaool n yũ.	A yoogda koomã ko-toakẽ n yaool n yũ.	A yoogda koomã ko-toakẽ n yaool n yũ.
ko-toog yaa bãnkoens pipi soobo.	ko-toog yaa bãnkoens pipi soobo.	ko-toog yaa bãnkoens pipi soobo.
ko-waafo yaa kʋlg pipi ko-zoetga.	ko-waafo yaa kʋlg pipi ko-zoetga.	ko-waafo yaa kʋlg pipi ko-zoetga.
ned sã n kẽ ko-zoetmẽ ko-wĩiga guuda a soab karse.	ned sã n kẽ ko-zoetmẽ ko-wĩiga guuda a soab karse.	ned sã n kẽ ko-zoetmẽ ko-wĩiga guuda a soab karse.
Koom sẽn na n kiis bugum pa baood ko-yɩlemd ye.	L'eau pour éteindre du feu n'a pas besoin d'être propre. (Proverbe: lorsqu'on est face à une urgence, tout ce qui peut concourir à résorber la situation est souhaitable. Comme quoi, la fin justifie les moyens.)	The water to put out a fire does not have to be clean. (Proverb: when you are faced with an emergency, anything that can help resolve the situation is desirable. Or, the end justifies the means.)
Ko-zoetmã zoeeme n wẽ roogã, la a ka tõog n miim-a ye.	Un torrent s'est rué contre cette maison, sans être capable de l'ébranler.	A stream broke against that house and could not shake it.
kell n zemsa koa!	kell n zemsa koa!	kell n zemsa koa!
A wẽe kʋɩlengã koa-koa.	Il a frappé à la porte «toc-toc».	He knocked at the door «knock-knock».
m data koaadg n toos m wãka.	m data koaadg n toos m wãka.	m data koaadg n toos m wãka.
Bẽ-koaaga.	Bouillie peu consistante.	Porridge that is not thick.
Nangur-n-koaasã zĩig la ka.	Ici est la place du veneur d'arachides.	Here is the place of the peanut seller.
Bars-toog vẽnegda koaasd yam.	A trop marchander, on finit par éveiller la vigilance du marchand. (Proverbe: il faut un compromis. Il faut que chaque partie soit raisonnable, sinon il n'aura pas de transactions)	To haggle too much, one ends up awakening the vigilance of the merchant. (Proverb: there has to be a compromise. Each party has to be reasonable, otherwise there will be no transactions)
pagã tara koaasg n koosd neerã.	pagã tara koaasg n koosd neerã.	pagã tara koaasg n koosd neerã.
Ned gãag soab n gʋsd a koadenga.	C'est votre hôte qui déplume votre perdrix. (Proverbe: quand des gens sont ensemble, chacun profite de l'autre)	It is your host who plucks your partridge. (Proverb: when people are together, each takes advantage of the other)
a tara ra-kõ-koagl a tã.	a tara ra-kõ-koagl a tã.	a tara ra-kõ-koagl a tã.
b yera koagla.	b yera koagla.	b yera koagla.
Ko-koaka.	Élévation pour retenir l’eau.	Elevation for keeping the water.
vɩʋʋgã kell n zemsame tɩ kẽ koala.	vɩʋʋgã kell n zemsame tɩ kẽ koala.	vɩʋʋgã kell n zemsame tɩ kẽ koala.
a wẽe a yugã koalenkoanga.	a wẽe a yugã koalenkoanga.	a wẽe a yugã koalenkoanga.
k na bõos koamdga ?	k na bõos koamdga ?	k na bõos koamdga ?
b bʋdame n bas koandga.	b bʋdame n bas koandga.	b bʋdame n bas koandga.
A kargã kaoome tɩ b bao koark n teeg-a la b mi n lok n wobe.	A kargã kaoome tɩ b bao koark n teeg-a la b mi n lok n wobe.	A kargã kaoome tɩ b bao koark n teeg-a la b mi n lok n wobe.
Lʋn-koatga pa wẽed n põomdedẽ ye.	On ne doit pas battre avec zèle un tambour d'aisselle emprunté. (Proverbe: quand on emprunt quelque chose à quelqu'un, on doit prendre soin de cette chose afin de pouvoir la retourner en bon état)	A borrowed armpit drum should not be zealously beaten. (Proverb: when you borrow something from someone, you have to take care of it so that you can return it in good condition)
A rigda kob-kob wa saag n nag noaaga.	A rigda kob-kob wa saag n nag noaaga.	A rigda kob-kob wa saag n nag noaaga.
Yaa kobsi.	C'est 1000 francs CFA.	It's 1000 francs CFA.
koɛɛgã sẽn wagd zĩig ningã boondame tɩ kodbre.	koɛɛgã sẽn wagd zĩig ningã boondame tɩ kodbre.	koɛɛgã sẽn wagd zĩig ningã boondame tɩ kodbre.
bẽerã kotame, sɩng moemb marsã.	bẽerã kotame, sɩng moemb marsã.	bẽerã kotame, sɩng moemb marsã.
A kodge noaagã.	Il a égorgé la poule.	He killed a chicken.
kodg yaa kõbr tompɛglem.	kodg yaa kõbr tompɛglem.	kodg yaa kõbr tompɛglem.
Kodgr sã n ta boɛɛg, bɩ a nak a lemde.	Quand le tour du bouc d'être égorgé arrive, qu'il soulève son menton. (Proverbe: quand le tour de quelqu'un arrive d'assumer des responsabilités, de faire quelque chose, il doit s'exécuter convenablement.)	When the goat's turn to be slaughtered comes, let him lift his chin. (Proverb: When it comes to someone's turn to take responsibility, to do something, he must do it properly.)
Gũus f meng koe ! A ka wa koe?	Fais attention, c'est sérieux ! Il n'a pas venu, hein ?	Pay attention, it is serious! He hasn't come, isn't it?
à, è, ì, ò, ù	à, è, ì, ò, ù	à, è, ì, ò, ù
ā, ē, ī, ō, ū	ā, ē, ī, ō, ū	ā, ē, ī, ō, ū
á, é, í, ó, ú	á, é, í, ó, ú	á, é, í, ó, ú
Tõnd koe-zugã yaa «Pag ne sɩda vɩɩm».	Notre thème est «La vie du couple.»	Our theme is «The live of the couple.»
a rigda koeb-koeb wa saag n saag noaaga.	a rigda koeb-koeb wa saag n saag noaaga.	a rigda koeb-koeb wa saag n saag noaaga.
Zu-koebelle.	Tête dépourvue de cheveux.	hairless head.
a reega rãamã n koebg la a rɩglg wamde.	a reega rãamã n koebg la a rɩglg wamde.	a reega rãamã n koebg la a rɩglg wamde.
kʋʋrã raare, kʋ-biisã koebsa b zutã.	kʋʋrã raare, kʋ-biisã koebsa b zutã.	kʋʋrã raare, kʋ-biisã koebsa b zutã.
biigã ka bãng kaoreng tɩ karen-saambã koebg a zugã.	biigã ka bãng kaoreng tɩ karen-saambã koebg a zugã.	biigã ka bãng kaoreng tɩ karen-saambã koebg a zugã.
fo goamã koebl-koeblã fãa yaa zĩrẽ fass.	fo goamã koebl-koeblã fãa yaa zĩrẽ fass.	fo goamã koebl-koeblã fãa yaa zĩrẽ fass.
kãandã bɩɩme n koede. Rẽgdã koeda a yĩngã.	kãandã bɩɩme n koede. Rẽgdã koeda a yĩngã.	kãandã bɩɩme n koede. Rẽgdã koeda a yĩngã.
wãoodã n kɩt t'a yĩngã lebg koedr woto.	wãoodã n kɩt t'a yĩngã lebg koedr woto.	wãoodã n kɩt t'a yĩngã lebg koedr woto.
wakat ningã woglem n são koeelem.	wakat ningã woglem n são koeelem.	wakat ningã woglem n são koeelem.
Zĩ-koeelle.	Endroit sec.	Dry place.
tãn-koeemde.	tãn-koeemde.	tãn-koeemde.
bi-koeemde.	bi-koeemde.	bi-koeemde.
kʋnkʋnrg sagenda koeer wamd.	kʋnkʋnrg sagenda koeer wamd.	kʋnkʋnrg sagenda koeer wamd.
F sã n wa mik tɩ mood lebg koeese, bɩ f zõond n wʋre.	Si tu te rends compte que les herbes sont devenues courtes, il faut te courber pour faucher. (proverbe, si tu viens en retard, tu dois te contenter avec des restes)	If you discover that the grass is short, you have to bend down to cut it. (proverb, if you come late, you have to be content with what is left).
biigã sãa bĩn-koegelle.	biigã sãa bĩn-koegelle.	biigã sãa bĩn-koegelle.
a koeka biigã zug t'a yãbda.	a koeka biigã zug t'a yãbda.	a koeka biigã zug t'a yãbda.
yõ-koeonglgo.	yõ-koeonglgo.	yõ-koeonglgo.
wilgd-f-la yẽbg tɩ f bas n get ra-koeoongo.	wilgd-f-la yẽbg tɩ f bas n get ra-koeoongo.	wilgd-f-la yẽbg tɩ f bas n get ra-koeoongo.
zẽedã saa laagẽ wã koep !	zẽedã saa laagẽ wã koep !	zẽedã saa laagẽ wã koep !
rao sẽn ya koɛɛg koetr n wa ka n baood tʋʋmde.	rao sẽn ya koɛɛg koetr n wa ka n baood tʋʋmde.	rao sẽn ya koɛɛg koetr n wa ka n baood tʋʋmde.
wãoor yĩng yaa koetre.	wãoor yĩng yaa koetre.	wãoor yĩng yaa koetre.
sʋ-koetre.	sʋ-koetre.	sʋ-koetre.
Mam gʋlsa yãmb seb-koɛɛga.	Je vous ai écrit une courte lettre.	I wrote to you a short letter.
Zĩ-koɛɛga.	Endroit sec.	Dry place
f yaa bi-koɛɛng ne f tʋʋlã.	f yaa bi-koɛɛng ne f tʋʋlã.	f yaa bi-koɛɛng ne f tʋʋlã.
pagã rɩka a koɛɛngã n dõog zũuri.	pagã rɩka a koɛɛngã n dõog zũuri.	pagã rɩka a koɛɛngã n dõog zũuri.
a koga lalgã n getẽ.	a koga lalgã n getẽ.	a koga lalgã n getẽ.
Fo koga woto n dabd yɛ?	Tu es paré comme ça, où vas-tu ?	You are well dressed like that, where do you go?
b yɛgda mui wã pĩig yug n yaool n bao raad n kogl tɩ ra sãeeg ye.	b yɛgda mui wã pĩig yug n yaool n bao raad n kogl tɩ ra sãeeg ye.	b yɛgda mui wã pĩig yug n yaool n bao raad n kogl tɩ ra sãeeg ye.
Wẽnd na kogl f yõore.	Que Dieu te protège.	May God protect you.
Yaa gɛl ne waooga, kogendame la pa wãad ye.	Ce sont des œufs dans une outre, ça fait du bruit mais ça ne se casse pas. (proverbe, sens: une dispute ne signifie pas encore la rupture)	It is eggs in a sac, that does not break the eggs, it just makes some noise. (proverb meaning: quarrelling does not mean rupture)
A pʋgã koglemdẽ.	Son ventre gargouille.	His belly rumbles.
sobgã kɩtame tɩ koomã koglemdẽ.	sobgã kɩtame tɩ koomã koglemdẽ.	sobgã kɩtame tɩ koomã koglemdẽ.
a boba konkond n kẽnd tɩ maand koglem-koglem.	a boba konkond n kẽnd tɩ maand koglem-koglem.	a boba konkond n kẽnd tɩ maand koglem-koglem.
A futã bee koglg pʋga.	A futã bee koglg pʋga.	A futã bee koglg pʋga.
koom koglg kẽnda koom zugu.	koom koglg kẽnda koom zugu.	koom koglg kẽnda koom zugu.
A loba konkongã t'a tɩ lʋɩ koglgo.	A loba konkongã t'a tɩ lʋɩ koglgo.	A loba konkongã t'a tɩ lʋɩ koglgo.
konkongã lʋɩɩ koglgɩ.	konkongã lʋɩɩ koglgɩ.	konkongã lʋɩɩ koglgɩ.
yãk-y gʋʋrã kogr la y wa tɩ tõnd na pʋɩ taab sẽn ketã.	yãk-y gʋʋrã kogr la y wa tɩ tõnd na pʋɩ taab sẽn ketã.	yãk-y gʋʋrã kogr la y wa tɩ tõnd na pʋɩ taab sẽn ketã.
Tar gãongo, n kogsd wẽng soabã pɛɛmã fãa.	Tiens le bouclier pour parer toutes flèches du malin.	Hold the shield to fend off all the arrows of the evil person.
a yãsa kʋlgã kogsrẽ n lob a lɛoaagã tɩ ta ko-sʋka.	a yãsa kʋlgã kogsrẽ n lob a lɛoaagã tɩ ta ko-sʋka.	a yãsa kʋlgã kogsrẽ n lob a lɛoaagã tɩ ta ko-sʋka.
Roogẽ wã yaa tʋʋlg t'a yi n na n kok pemsem.	Il fait chaud dans la chambre et il est sorti pour prendre de 'air fraîche.	It is hot in the room so he went outside to get some fresh air.
A yiime n na n kok sõore tɩ yaa waoodo.	A yiime n na n kok sõore tɩ yaa waoodo.	A yiime n na n kok sõore tɩ yaa waoodo.
f sẽeme n yaool n yet tɩ mam na zĩnd n kok fo bĩndã yũugu, m na yik halɩ!	f sẽeme n yaool n yet tɩ mam na zĩnd n kok fo bĩndã yũugu, m na yik halɩ!	f sẽeme n yaool n yet tɩ mam na zĩnd n kok fo bĩndã yũugu, m na yik halɩ!
Kok biigã t'a na n lʋɩɩme.	Attrape l'enfant si non il va tomber.	Hold the child or he will fall down.
Kok rũmsã n kẽes b roogẽ.	Conduis les animaux et fais les entrer dans la case.	Lead the animals into the stable.
a togla zẽem n bao laag koke.	a togla zẽem n bao laag koke.	a togla zẽem n bao laag koke.
B baoo barg n kok a zugã.	On rase sa tête avec une lame.	They shave his head wit a razor blade.
A yaa koko-longo, rɩɩb wakat la a saad n get nebã n na n paam n dɩ.	A yaa koko-longo, rɩɩb wakat la a saad n get nebã n na n paam n dɩ.	A yaa koko-longo, rɩɩb wakat la a saad n get nebã n na n paam n dɩ.
A Zã yõka yẽnda n sog a kokoɛy wã n yeel-a: «Yao maam m samdã.»	Jean le prit à la gorge et le serrait à l'étrangler, en lui disant : «Rends tout ce que tu dois.»	John seized him at the throat and began to choke him, saying, ‘Pay what you owe me.’
A weef n poog t'a zĩ n konda.	A weef n poog t'a zĩ n konda.	A weef n poog t'a zĩ n konda.
Kolemd f karsã la f bas vɩʋʋg tɩ nebã loogdẽ.	Kolemd f karsã la f bas vɩʋʋg tɩ nebã loogdẽ.	Kolemd f karsã la f bas vɩʋʋg tɩ nebã loogdẽ.
M kolga tẽngã noorẽ.	Je me suis approché de la ville.	I got near the town.
Pademd noor yita kolkood, pademd noor pa yit zɩɩm ye.	La bouche de celui qui balbutie sort de la salive, la bouche de celui balbutie ne sort pas du sang. Proverbe (On parle beaucoup pour se défendre et atténuer la culpabilité.)	The mouth of a stammerer uses a lot of saliva, but it is better than having to have blood coming out of his mouth. Proverb
yãk koll n kõ-m tɩ m tabl m sebre.	yãk koll n kõ-m tɩ m tabl m sebre.	yãk koll n kõ-m tɩ m tabl m sebre.
bao raoog n kols f nug la f ra kẽng nug yaal ze.	bao raoog n kols f nug la f ra kẽng nug yaal ze.	bao raoog n kols f nug la f ra kẽng nug yaal ze.
Rɩ tɩ yãag pa rigd beoog kom ye.	Manger à dépasser la capacité de son ventre n'empêche pas qu'on ait faim le lendemain. (Proverbe: la gestion rationnelle de nos ressources, qu'elles soient abondantes ou pas est d'une nécessité incontestable.)	Eating to exceed the capacity of your belly does not prevent you from being hungry the next day. (Proverb: the rational management of our resources, whether they are abundant or not, is an incontestable necessity.)
Rɩt n pa tɩgd n wa kẽ kom-gãaga.	Manger sans être rassasié et se mettre à dormir sans manger. (proverbe: une situation désagréable peut se dégrader encore)	Eat without being full and go to sleep without eating. (proverb: an unpleasant situation can deteriorate further)
Komindi yaa kãdenga meer sẽn so.	Territoire dirigé par un maire.	Territory directed by a mayor.
Tʋʋm-kidbã n koms-a.	Le travail dur l'a affaibli.	The hard work has weakened him.
Mobill n fão-a n koms-a.	Une voiture l'a fauché et l'a rendu paralytique.	A car has hit him and made him a paralytic.
komsmã n kɩt t'a tikd rasaar n kẽnda.	komsmã n kɩt t'a tikd rasaar n kẽnda.	komsmã n kɩt t'a tikd rasaar n kẽnda.
Bũmb pãng sẽn pa waooge	Bũmb pãng sẽn pa waooge	Bũmb pãng sẽn pa waooge
B kaoo bʋʋdã n yet tɩ fo n kong bʋʋm.	Ils t'ont jugé coupable.	They judged that you are guilty.
Noor soab ka kongd sor ye.	Qui a une bouche ne manquera pas de trouver son chemin. proverbe (sens: on ne doit pas hésiter à s'informer)	He who has a mouth will surely find his way. proverb (meaning: one should not hesitate to get information) Proverb
A maoome n konge.	Il s'est efforcé en vain.	He tried hard but without success.
nin-kongo	nin-kongo	nin-kongo
pʋg-koobr pa rɩkd pʋg ye.	pʋg-koobr pa rɩkd pʋg ye.	pʋg-koobr pa rɩkd pʋg ye.
Tar m yam n kood maan-dẽenga.	‹Je suis avisé›, c'est pour cela que je cultive le gombo précoce. (Proverbe: lorsque quelqu'un échoue à atteindre ses objectifs ou a été victime d'une situation donnée, il doit prendre conscience de ses erreurs, tirer les leçons de la situation pour atteindre ses objectifs ou pour éviter d'être victime la prochaine fois)	‹I'm wise›, that's why I grow early okra. (Proverb: when someone fails to achieve their goals or has been the victim of a given situation, they must realize their mistakes, learn from the situation to achieve their goals or to avoid being victimized next time)
Zĩ-koodre.	Endroit cultivable.	A place that can be farmed.
Kõ-m gell tɩ m koog n yũ.	Kõ-m gell tɩ m koog n yũ.	Kõ-m gell tɩ m koog n yũ.
Nangur-koodo.	Arachides qui ne sont pas mûres.	Ground-nuts that are not ripe.
kool f nao wã la f bas sore.	Plie tes jambes et laisse le passage libre.	Fold your legs and leave the way free.
Kool sagdã.	Mets la saleté en tas.	Gather the dirt to a pile.
Koom sẽn pa zoete (n yas zĩ-yende)	Koom sẽn pa zoete (n yas zĩ-yende)	Koom sẽn pa zoete (n yas zĩ-yende)
wamdã ra dat n lʋɩɩme t'a kell n koomde.	wamdã ra dat n lʋɩɩme t'a kell n koomde.	wamdã ra dat n lʋɩɩme t'a kell n koomde.
Mam taame t'a koomd maam tɩ m malg a weefo.	Mam taame t'a koomd maam tɩ m malg a weefo.	Mam taame t'a koomd maam tɩ m malg a weefo.
Tõnd pa rengd wʋʋg n lʋɩ koomẽ ye.	Nous ne devançons pas le varan du Nil dans l'eau. (Proverbe: en toute circonstance, on doit faire preuve de retenue et de maîtrise de soi. On doit attendre de réunir toutes les preuves de son action pour se donner toutes les raisons et toutes les preuves. La précipitation fait perdre toute raison même pour celui qui aurait raison)	We are not ahead of the Nile monitor in the water. (Proverb: in all circumstances, one must show restraint and self-control. One must wait to gather all the proofs of his action to give oneself all the reasons and all the proofs. Hastiness destroys all reason even for that who would be right)
rɩk koorã n leeg rãamã.	rɩk koorã n leeg rãamã.	rɩk koorã n leeg rãamã.
Mam yaa pĩ koosda.	Je suis un vendeur de nattes.	I am a seller of mats.
Tab-noog n koosd a menga.	Le bon tabac se vend de lui-même. (Proverbe: la bonne marchandise trouve facilement un acheteur)	Good tobacco sells itself. (Proverb: the right commodity easily finds a buyer)
Yãmb koosda bõe?	Que vendez-vous ?	What do you sell?
Ned n koosd roogã noore.	Quelqu'un frappe à la porte.	Somebody knocks at the door.
Koosmã ka ra rũndã ye.	Koosmã ka ra rũndã ye.	Koosmã ka ra rũndã ye.
Korg goeelã n kẽes maasmẽ.	Korg goeelã n kẽes maasmẽ.	Korg goeelã n kẽes maasmẽ.
M kota koom.	Je demande de l'eau (à boire).	I am asking for water.
Bao almɛt n kosg n tugl sagdã.	Bao almɛt n kosg n tugl sagdã.	Bao almɛt n kosg n tugl sagdã.
A kosga laagã n zoet n na n tɩ reeg a pʋɩɩr tɩ ra sa ye.	A kosga laagã n zoet n na n tɩ reeg a pʋɩɩr tɩ ra sa ye.	A kosga laagã n zoet n na n tɩ reeg a pʋɩɩr tɩ ra sa ye.
Wẽnnaam leoka pagã kosgo, la a rɩka pʋg n dog bi-ribla.	Dieu a exhaussé la requête de la femme et elle a accouché un garçon.	God answered the request of the woman and she gave birth to a boy.
Bẽerã kaeeda kot-kot.	La bouillie bout «brou-brou».	The thin porridge boils making «kit-kit».
Karen-saamba, m kot-y lame tɩ y ges m bi-riblã.	Maître, je t'en prie, porte les regards sur mon fils.	Teacher, I beg you to look at my son.
A ning a fuugã kot n yaool n tɩ koose.	A ning a fuugã kot n yaool n tɩ koose.	A ning a fuugã kot n yaool n tɩ koose.
No-raoog yãbda kotrkolooko !	No-raoog yãbda kotrkolooko !	No-raoog yãbda kotrkolooko !
M kõta foo ligdi.	Je te donne de l'argent.	I give you some money.
Kõ n paas pa wẽ n paas ye.	Donner davantage n'est pas frapper davantage. (Proverbe: il n'est jamais de trop pour bien faire et toute personne doit être encline à toujours faire du bien. Par contre, il ne faut pas empirer une situation.)	Giving more is not hitting more. (Proverb: it is never too much to do well and everyone should always be inclined to do good. On the other hand, we must not make a bad situation worse.)
Fo pag a Elizabɛt na n doga bi-ribl n kõ-fo.	Élisabeth, ta femme, te donnera un fil.	Your wife Elizabeth will bear you a son.
Sĩif kõabnengã.	Dard d'abeille.	The sting of a bee.
A yĩnga yaa rẽgd kõada.	A yĩnga yaa rẽgd kõada.	A yĩnga yaa rẽgd kõada.
Kõat baooda yel-sõmde, tɩ zãgsd baood beem.	Le généreux cherche l'amitié et celui qui refuse (le don) cherche des inimités. (Proverbe: le don crée des relations d'amitié, de bonne cohabitation et de confiance. Refuser un don, c'est briser cette chaîne de relations et fait naître la méfiance).	The generous seeks friendship and the one who refuses (the gift) seeks enmities. (Proverb: the donation creates relations of friendship, good cohabitation and trust. To refuse a donation is to break this chain of relations and gives rise to mistrust).
kada soabã na n yɩɩ kõbg soab tɩ mam getẽ.	kada soabã na n yɩɩ kõbg soab tɩ mam getẽ.	kada soabã na n yɩɩ kõbg soab tɩ mam getẽ.
Kõbr zã n kaoos yooda baag yam.	Tenir un os pendant longtemps met le doute dans l'esprit du chien. (Proverbe: quand on s'attend à quelque chose qui ne voit pas le jour, on ne peut pas s'empêcher de s'inquiéter.)	Holding a bone for a long time puts doubt in the dog's mind. (Proverb: When you expect something that doesn't see the light of day, you can't help but worry.)
Baag yĩngã kõda ne rẽgdo.	Le corps du chien est plein de saleté.	The dog's body is full of dirt.
rɩk zẽeng n kõdg sag-kõtã la f bas rʋkã.	rɩk zẽeng n kõdg sag-kõtã la f bas rʋkã.	rɩk zẽeng n kõdg sag-kõtã la f bas rʋkã.
Yaa bõe n lʋɩ kõe woto wa kãanda?	Yaa bõe n lʋɩ kõe woto wa kãanda?	Yaa bõe n lʋɩ kõe woto wa kãanda?
a tebga rãamã n kõebg n bas wam-koɛɛga.	a tebga rãamã n kõebg n bas wam-koɛɛga.	a tebga rãamã n kõebg n bas wam-koɛɛga.
A kõeeba maam tɩ mam sãam ne-a.	A kõeeba maam tɩ mam sãam ne-a.	A kõeeba maam tɩ mam sãam ne-a.
sã-zɩɩm n tar biigã t'a rõb n kõeegdẽ.	sã-zɩɩm n tar biigã t'a rõb n kõeegdẽ.	sã-zɩɩm n tar biigã t'a rõb n kõeegdẽ.
A yũ koomã zãng kõep.	A yũ koomã zãng kõep.	A yũ koomã zãng kõep.
A kõgda rãamã tɩ ya beoogo.	Elle prépare du dolo / bière.	She is brewing beer.
Fo yaa kõgr woto la?	Es-tu stupide comme ça ?	Are you stupid like that?
Fo kõn wa ye.	Tu ne viendras pas.	You won't come.
Fo kõn maan woto wã yaa sõama?	Fo kõn maan woto wã yaa sõama?	Fo kõn maan woto wã yaa sõama?
Pedg gʋ-kõnesr n kõ-m tɩ m wɩsg m noore.	Pedg gʋ-kõnesr n kõ-m tɩ m wɩsg m noore.	Pedg gʋ-kõnesr n kõ-m tɩ m wɩsg m noore.
Wakat kõngo.	En ce moment.	At that moment.
Rã-bɩɩr sã n tisgi, a tẽngr ko-taokã boondame tɩ kõodo.	Rã-bɩɩr sã n tisgi, a tẽngr ko-taokã boondame tɩ kõodo.	Rã-bɩɩr sã n tisgi, a tẽngr ko-taokã boondame tɩ kõodo.
Yaa kõod wa rõodo.	C'est jaune comme la farine du néré.	It is yellow like dawadawa flour.
tõnd basa so-bukã n dɩk so-kõodrã.	tõnd basa so-bukã n dɩk so-kõodrã.	tõnd basa so-bukã n dɩk so-kõodrã.
A kõoga a zugã.	Il a rasé sa tête.	He shaved is head.
